Metric,Test Name,Value,Type
gini_days_mean,majoritarian,0.28725568955939845,Minimum
gini_days_median,majoritarian,0.2824478487614081,Minimum
gini_days_stdev,majoritarian,0.05641692728441826,Minimum
gini_berries_mean,majoritarian,0.5713505166315026,Minimum
gini_berries_median,majoritarian,0.5700000000000001,Minimum
gini_berries_stdev,optimist,0.07856256092794275,Minimum
min_days_mean,optimist,9.001092896174864,Maximum
min_days_median,average,9.0,Maximum
min_days_stdev,average,0.0316227766016838,Minimum
min_berries_mean,average,0.0,Maximum
min_berries_median,average,0.0,Maximum
min_berries_stdev,average,0.0,Minimum
max_days_mean,optimist,66.95737704918032,Maximum
max_days_median,optimist,57.0,Maximum
max_days_stdev,majoritarian,24.360037097824943,Minimum
max_berries_mean,optimist,9.99016393442623,Maximum
max_berries_median,average,8.0,Maximum
max_berries_stdev,majoritarian,4.058248437488811,Minimum
total_days_mean,optimist,370.5879781420765,Maximum
total_days_median,average,366.0,Maximum
total_days_stdev,majoritarian,45.59172536131334,Minimum
total_berries_mean,average,36.368,Maximum
total_berries_median,average,35.0,Maximum
total_berries_stdev,majoritarian,7.76132554233967,Minimum
episode_length_mean,optimist,18.529398907103825,Maximum
episode_length_median,average,15.0,Maximum
episode_length_stdev,majoritarian,12.219407830839708,Minimum
most_common,majoritarian,10.0,
