,episode,end_day,epsilon,mean_reward,mean_loss,max_berries,mean_berries,max_berries_consumed,mean_berries_consumed,gini_berries_consumed,mean_berries_thrown,max_health,mean_health,median_health,variance_health,deceased,num_emerged_norms
0,1,50,0,19.375,0,2.0,0.3277777777777778,15.0,5.3,0.6016260162601625,0.7277777777777777,4.899999999999999,1.6272222222222215,1.4999999999999996,1.1252324643078815,1,
0,2,50,0,15.0,0,3.0,0.5272727272727272,11.0,4.0,0.689655172413793,0.8242424242424242,2.4999999999999996,0.8096969696969698,0.7000000000000002,0.2531980783444196,1,
0,3,50,0,17.725,0,2.0,0.32,11.0,4.255,0.07432432432432434,0.555,2.499999999999998,0.8029999999999998,0.7000000000000001,0.2679306532663311,0,
0,4,50,0,18.65,0,2.0,0.32786885245901637,12.0,4.562841530054645,0.5585585585585585,0.453551912568306,2.999999999999997,1.1415300546448086,0.9000000000000005,0.5466174262895563,1,
0,5,50,0,17.35,0,2.0,0.26455026455026454,13.0,4.936507936507937,0.5714285714285714,0.7407407407407407,4.299999999999998,1.3259259259259253,0.9000000000000002,1.1705476753349078,1,
0,6,50,0,14.75,0,2.0,0.4025157232704403,10.0,4.333333333333333,0.689655172413793,0.0,2.1999999999999997,0.9666666666666665,0.9,0.24970464135021053,1,
0,7,50,0,17.9,0,2.0,0.3333333333333333,12.0,4.61025641025641,1.3055555555555556,0.4358974358974359,3.2999999999999976,1.074358974358974,0.8,0.6635659529473951,2,
0,8,50,0,18.05,0,1.0,0.245,11.0,4.33,0.06428571428571428,0.15,2.9999999999999982,0.8479999999999999,0.7000000000000003,0.31205628140703456,0,
0,9,50,0,17.475,0,2.0,0.44242424242424244,12.0,5.254545454545455,0.6862745098039215,0.4121212121212121,3.299999999999998,1.5624242424242414,1.2999999999999998,0.8245550628233537,1,
0,10,50,0,14.175000000000004,0,2.0,0.2578616352201258,14.0,5.830188679245283,0.7956989247311828,1.119496855345912,4.499999999999999,1.864779874213835,1.5999999999999992,1.2291314385797305,1,
0,11,50,0,18.875,0,2.0,0.3050847457627119,13.0,4.954802259887006,0.5964912280701754,0.3107344632768362,3.7999999999999976,1.3988700564971746,1.1999999999999997,0.8429532614278359,1,
0,12,50,0,15.725000000000001,0,1.0,0.23270440251572327,12.0,4.616352201257862,0.7311827956989246,0.13836477987421383,3.199999999999998,1.1364779874213835,0.9,0.5168887827402269,1,
0,13,50,0,16.175,0,1.0,0.2830188679245283,11.0,4.647798742138365,0.6874999999999999,0.050314465408805034,2.6999999999999984,1.1553459119496852,1.0999999999999992,0.4133731390812826,1,
0,14,50,0,17.400000000000002,0,2.0,0.4293785310734463,14.0,4.728813559322034,0.6476190476190475,0.2598870056497175,4.299999999999996,1.2632768361581914,0.9,1.0825642013353856,1,
0,15,50,0,15.825000000000001,0,2.0,0.3710691823899371,12.0,4.80503144654088,0.7311827956989246,0.10062893081761007,3.0999999999999983,1.2496855345911944,1.2000000000000002,0.4098574954223382,1,
0,16,50,0,17.700000000000003,0,2.0,0.2994350282485876,13.0,5.344632768361582,0.648148148148148,0.7231638418079096,3.999999999999998,1.6327683615819202,0.9,1.6877837699024114,1,
0,17,50,0,19.300000000000004,0,2.0,0.32,16.0,5.24,0.5666666666666665,1.05,5.899999999999999,1.3939999999999997,0.8000000000000005,2.097451256281406,1,
0,18,50,0,16.175,0,1.0,0.3230769230769231,12.0,4.051282051282051,0.5098039215686274,0.06153846153846154,3.1999999999999984,0.738974358974359,0.6000000000000003,0.3829061591329628,1,
0,19,50,0,17.45,0,1.0,0.3224043715846995,11.0,4.344262295081967,0.5523809523809523,0.16939890710382513,2.899999999999999,1.0103825136612021,0.8000000000000003,0.468408094637602,1,
0,20,50,0,17.275,0,2.0,0.2824858757062147,11.0,5.163841807909605,0.5714285714285714,0.4745762711864407,3.299999999999997,1.5242937853107337,1.4999999999999998,0.6692360041088837,1,
0,21,50,0,17.900000000000002,0,2.0,0.5333333333333333,14.0,5.672727272727273,0.7222222222222221,0.6181818181818182,4.299999999999997,1.8133333333333321,1.8999999999999986,1.067747967479673,1,
0,22,50,0,18.875,0,2.0,0.285,13.0,4.39,0.10526315789473695,0.06,3.599999999999998,0.8839999999999999,0.7000000000000006,0.38687839195979834,0,
0,23,50,0,15.925,0,1.0,0.2768361581920904,11.0,4.101694915254237,0.5833333333333333,0.03954802259887006,2.4999999999999982,0.8870056497175142,0.7000000000000003,0.34784155110426246,1,
0,24,50,0,18.3,0,2.0,0.26,13.0,4.785,0.10526315789473695,1.12,3.7999999999999976,1.1209999999999998,0.7000000000000006,0.8879989949748727,0,
0,25,50,0,19.5,0,2.0,0.4,14.0,4.57,0.125,0.22,4.299999999999998,0.9919999999999999,0.7000000000000001,0.7693829145728631,0,
0,26,50,0,16.55,0,2.0,0.5345911949685535,15.0,5.364779874213837,0.8039215686274509,1.0880503144654088,4.899999999999998,1.5855345911949679,1.4,0.9987134782262544,1,
0,27,50,0,16.975,0,2.0,0.2994350282485876,14.0,5.186440677966102,0.6666666666666666,1.5932203389830508,4.6000000000000005,1.537853107344633,0.9999999999999997,1.8111158192090413,1,
0,28,50,0,16.650000000000002,0,1.0,0.28654970760233917,12.0,4.964912280701754,0.6470588235294117,0.9707602339181286,3.1999999999999984,1.4076023391812864,1.0,1.0571771585827296,1,
0,29,50,0,16.9,0,2.0,0.3696969696969697,13.0,5.284848484848485,0.7058823529411764,0.5696969696969697,3.599999999999997,1.5806060606060597,1.5999999999999988,0.7114508499630438,1,
0,30,50,0,19.45,0,2.0,0.31,14.0,4.875,0.12804878048780477,1.26,4.6,1.175,0.7000000000000001,1.3465075376884423,0,
0,31,50,0,18.25,0,2.0,0.3386243386243386,13.0,4.968253968253968,0.5789473684210525,0.9312169312169312,3.6999999999999975,1.3449735449735443,0.9999999999999999,0.922807047168748,1,
0,32,50,0,19.775000000000002,0,2.0,0.27,17.0,5.265,0.5873015873015872,1.045,6.000000000000001,1.4089999999999998,0.9000000000000005,1.677707537688441,1,
0,33,50,0,21.0,0,3.0,0.425,16.0,5.3,0.14534883720930236,1.34,5.500000000000002,1.43,0.8999999999999992,2.087537688442213,0,
0,34,50,0,18.65,0,2.0,0.3575757575757576,13.0,4.987878787878788,0.6851851851851851,0.42424242424242425,3.5999999999999983,1.4024242424242417,1.2999999999999998,0.7427989652623787,1,
0,35,50,0,14.924999999999999,0,2.0,0.45454545454545453,12.0,4.2272727272727275,0.6236559139784945,1.2897727272727273,3.499999999999999,0.9636363636363634,0.7000000000000002,0.6505558441558438,1,
0,36,50,0,19.325000000000003,0,2.0,0.31,16.0,5.19,0.5691056910569104,1.245,5.400000000000002,1.3639999999999999,0.8,1.7988984924623108,1,
0,37,50,0,19.625,0,2.0,0.26,14.0,4.72,0.1217948717948718,0.26,4.299999999999997,1.0819999999999999,0.8000000000000005,0.5335437185929637,0,
0,38,50,0,17.6,0,2.0,0.2751322751322751,10.0,4.476190476190476,0.4901960784313725,0.1693121693121693,2.399999999999998,1.0497354497354494,0.9,0.38761961049195004,1,
0,39,50,0,18.25,0,2.0,0.25136612021857924,14.0,4.879781420765028,0.5964912280701754,0.9726775956284153,4.1999999999999975,1.3316939890710378,1.0999999999999999,0.98360535639224,1,
0,40,50,0,19.2,0,2.0,0.315,12.0,4.545,0.09615384615384626,0.435,2.999999999999998,0.9769999999999998,0.7000000000000008,0.44630251256281295,0,
0,41,50,0,18.625000000000004,0,1.0,0.2698412698412698,15.0,5.275132275132275,0.5964912280701754,1.0740740740740742,5.200000000000002,1.5291005291005288,0.9000000000000005,1.8365422717550375,1,
0,42,50,0,17.25,0,1.0,0.25396825396825395,10.0,4.523809523809524,0.47619047619047616,0.25925925925925924,2.4999999999999982,1.078306878306878,0.9999999999999988,0.4305375436226492,1,
